Run 20260525_124637 — alensa.cz
Summary: {'PASS': 30, 'FAIL': 0, 'NOT_APPLIED': 0, 'ERROR': 0, 'SKIPPED_EXPIRED': 0}

[PASS       ] 8OEO-LNKH-NYGC  (30.6s) — line 'crulle-tr1726-c4' got 30.06% off (expected 30%, delta 0.06pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.8s) — line 'crulle-tr1616-c1' got 30.06% off (expected 30%, delta 0.06pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.8s) — line 'crulle-calm-c4' got 30.06% off (expected 30%, delta 0.06pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.3s) — line 'crulle-chill-c1' got 30.06% off (expected 30%, delta 0.06pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.5s) — line 'polaroid-pld-d830-33b' got 29.97% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (74.7s) — line 'crulle-tr1886-c2' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.9s) — line 'crulle-calm-c1' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.8s) — line 'crulle-tr1886-c4' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.8s) — line 'crulle-tr1726-c5' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (31.2s) — line 'crulle-tr1726-c1' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.4s) — line 'polaroid-pld-6138-cs-086-sp' got 30.02% off (expected 30%, delta 0.02pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (76.7s) — line 'tommy-hilfiger-th-1637-2m2' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (31.6s) — line 'hugo-boss-boss-1663-s45' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (32.2s) — line 'marc-jacobs-marc-409-j5g' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.0s) — line 'moschino-mos651-1ed' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.8s) — line 'carolina-herrera-her-0304-807' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.5s) — line 'carrera-carrera-4410-fll' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.1s) — line 'crulle-tr1886-c1' got 30.03% off (expected 30%, delta 0.03pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.3s) — line 'lewish-williamsburg-c2' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.3s) — line 'marisio-pragmatic-c3' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.1s) — line 'kimikado-titanium-chitose-c5' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.0s) — line 'david-beckham-db-1141-tx7' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.4s) — line 'dsquared2-d2-0090-807' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (31.5s) — line 'fossil-fos-7182-jmj' got 29.98% off (expected 30%, delta 0.02pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (29.5s) — line 'hugo-boss-hg-1233-900' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.5s) — line 'jimmy-choo-jc3007hb-5035' got 30% off (expected 30%, delta 0.00pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (74.8s) — line 'kate-spade-jackeline-2-7zj' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.4s) — line 'missoni-mis-0133-cs-086-la' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (31.2s) — line 'pierre-cardin-p-c-8923-rhl' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
[PASS       ] 8OEO-LNKH-NYGC  (30.3s) — line 'under-armour-ua-5064-g-08a' got 30.01% off (expected 30%, delta 0.01pp ≤ 1.0pp)
